qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
NC_012690_00071|MOBH,"AAAGZF010000025.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S519 SAMN10132869-rid6656563.denovo.25, whole genome shotgun sequence",458,49963,245,458,19916,20557,214,4,98.131,47.0,100.0,minus,3.45e-141,440,relaxase
NC_012885_00072|MOBH,"AAAGZF010000025.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S519 SAMN10132869-rid6656563.denovo.25, whole genome shotgun sequence",987,49963,1,986,27118,30084,991,104,88.799,99.0,99.0,minus,0.0,1597,relaxase
NC_023291_00077|MPF_F,"AAAGZF010000025.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S519 SAMN10132869-rid6656563.denovo.25, whole genome shotgun sequence",335,49963,1,335,4886,5890,335,2,99.403,100.0,100.0,minus,0.0,582,mate-pair-formation
NC_012885_00091|MPF_F,"AAAGZF010000025.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S519 SAMN10132869-rid6656563.denovo.25, whole genome shotgun sequence",422,49963,1,422,6558,7820,422,24,94.076,100.0,100.0,minus,0.0,821,mate-pair-formation
NC_012885_00088|MPF_T,"AAAGZF010000025.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S519 SAMN10132869-rid6656563.denovo.25, whole genome shotgun sequence",815,49963,1,815,8645,11089,815,16,98.037,100.0,100.0,minus,0.0,1638,mate-pair-formation
NC_016974_00085|MPF_F,"AAAGZF010000025.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S519 SAMN10132869-rid6656563.denovo.25, whole genome shotgun sequence",192,49963,1,192,18028,18603,192,1,99.479,100.0,100.0,minus,1.66e-119,365,mate-pair-formation
NC_012885_00083|MPF_F,"AAAGZF010000025.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S519 SAMN10132869-rid6656563.denovo.25, whole genome shotgun sequence",438,49963,1,438,18603,19916,438,42,90.411,100.0,100.0,minus,0.0,752,mate-pair-formation
NC_014170_00023|MPF_F,"AAAGZF010000025.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S519 SAMN10132869-rid6656563.denovo.25, whole genome shotgun sequence",305,49963,1,305,19916,20830,305,24,92.131,100.0,100.0,minus,0.0,569,mate-pair-formation
NC_009140_00071|MPF_F,"AAAGZF010000025.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S519 SAMN10132869-rid6656563.denovo.25, whole genome shotgun sequence",621,49963,1,621,25253,27115,621,0,100.0,100.0,100.0,minus,0.0,1177,mate-pair-formation
qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
JQ319772|MOBH,"AAEKTT010000046.1 Salmonella enterica strain 14FMPE000163 SAMN06277373-rid5453983.denovo.046, whole genome shotgun sequence",398,37820,1,398,35320,35717,398,0,100.0,100.0,100.0,minus,0.0,736,oriT
000092__CP025470|IncC,"AAEKTT010000046.1 Salmonella enterica strain 14FMPE000163 SAMN06277373-rid5453983.denovo.046, whole genome shotgun sequence",1101,37820,1,1101,33403,34503,1101,1,99.909,100.0,100.0,minus,0.0,2028,replicon
NC_012885_00167|MPF_F,"AAEKTT010000049.1 Salmonella enterica strain 14FMPE000163 SAMN06277373-rid5453983.denovo.049, whole genome shotgun sequence",477,36635,1,477,28711,30141,477,12,97.484,100.0,100.0,plus,0.0,931,mate-pair-formation
qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
JQ319772|MOBH,"AAGWPW010000052.1 Salmonella enterica strain CFSAN064115 SAMN07257823-rid5560833.denovo.052, whole genome shotgun sequence",398,31887,1,398,29388,29785,398,0,100.0,100.0,100.0,minus,0.0,736,oriT
000092__CP025470|IncC,"AAGWPW010000052.1 Salmonella enterica strain CFSAN064115 SAMN07257823-rid5560833.denovo.052, whole genome shotgun sequence",1101,31887,1,1101,27471,28571,1101,0,100.0,100.0,100.0,minus,0.0,2034,replicon
NC_012885_00167|MPF_F,"AAGWPW010000069.1 Salmonella enterica strain CFSAN064115 SAMN07257823-rid5560833.denovo.069, whole genome shotgun sequence",477,14333,1,477,6493,7923,477,12,97.484,100.0,100.0,minus,0.0,931,mate-pair-formation
qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
JQ319772|MOBH,"AAMLWV010000041.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FDA632960-1 isolate CFSAN019047 SAMN02918686-rid5576813.denovo.041, whole genome shotgun sequence",398,42126,1,398,39626,40023,398,0,100.0,100.0,100.0,minus,0.0,736,oriT
000092__CP025470|IncC,"AAMLWV010000041.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FDA632960-1 isolate CFSAN019047 SAMN02918686-rid5576813.denovo.041, whole genome shotgun sequence",1101,42126,1,1101,37709,38809,1101,0,100.0,100.0,100.0,minus,0.0,2034,replicon
NC_012690_00071|MOBH,"AAMLWV010000046.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FDA632960-1 isolate CFSAN019047 SAMN02918686-rid5576813.denovo.046, whole genome shotgun sequence",458,36383,245,458,19916,20557,214,4,98.131,47.0,100.0,minus,7.079999999999999e-141,440,relaxase
NC_012885_00072|MOBH,"AAMLWV010000046.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FDA632960-1 isolate CFSAN019047 SAMN02918686-rid5576813.denovo.046, whole genome shotgun sequence",987,36383,1,986,27118,30084,991,104,88.799,99.0,99.0,minus,0.0,1597,relaxase
NC_012885_00167|MPF_F,"AAMLWV010000026.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FDA632960-1 isolate CFSAN019047 SAMN02918686-rid5576813.denovo.026, whole genome shotgun sequence",477,52395,1,477,44471,45901,477,12,97.484,100.0,100.0,plus,0.0,931,mate-pair-formation
NC_023291_00077|MPF_F,"AAMLWV010000046.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FDA632960-1 isolate CFSAN019047 SAMN02918686-rid5576813.denovo.046, whole genome shotgun sequence",335,36383,1,335,4886,5890,335,2,99.403,100.0,100.0,minus,0.0,582,mate-pair-formation
NC_012885_00091|MPF_F,"AAMLWV010000046.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FDA632960-1 isolate CFSAN019047 SAMN02918686-rid5576813.denovo.046, whole genome shotgun sequence",422,36383,1,422,6558,7820,422,24,94.076,100.0,100.0,minus,0.0,821,mate-pair-formation
