qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
HM021326|MOBP,"CP009566.1 Salmonella enterica subsp. enterica serovar Newport str. CVM 22462 plasmid pCVM22462, complete sequence",93,94725,1,93,75983,76075,93,0,100.0,100.0,100.0,plus,6.81e-46,172,oriT
MG764547|IncI-gamma/K1,"CP009566.1 Salmonella enterica subsp. enterica serovar Newport str. CVM 22462 plasmid pCVM22462, complete sequence",1032,94725,1,1032,20702,21733,1032,2,99.806,100.0,100.0,minus,0.0,1895,replicon
NC_019097|MOBP,"CP009566.1 Salmonella enterica subsp. enterica serovar Newport str. CVM 22462 plasmid pCVM22462, complete sequence",899,94725,1,898,72920,75613,898,43,95.212,99.0,99.0,minus,0.0,1684,relaxase
NC_019097_00085|MPF_I,"CP009566.1 Salmonella enterica subsp. enterica serovar Newport str. CVM 22462 plasmid pCVM22462, complete sequence",272,94725,1,272,44767,45582,272,1,99.632,100.0,100.0,plus,0.0,549,mate-pair-formation
NZ_CM001473_00069|MPF_I,"CP009566.1 Salmonella enterica subsp. enterica serovar Newport str. CVM 22462 plasmid pCVM22462, complete sequence",116,94725,1,116,51458,51802,116,9,91.379,100.0,100.0,plus,2.1700000000000007e-59,189,mate-pair-formation
NC_022267_00069|MPF_I,"CP009566.1 Salmonella enterica subsp. enterica serovar Newport str. CVM 22462 plasmid pCVM22462, complete sequence",237,94725,1,216,51802,52449,216,4,98.148,91.0,91.0,plus,8e-147,445,mate-pair-formation
NC_019097_00075|MPF_I,"CP009566.1 Salmonella enterica subsp. enterica serovar Newport str. CVM 22462 plasmid pCVM22462, complete sequence",327,94725,1,327,52505,53485,327,1,99.694,100.0,100.0,plus,0.0,656,mate-pair-formation
NC_015965_00072|MPF_I,"CP009566.1 Salmonella enterica subsp. enterica serovar Newport str. CVM 22462 plasmid pCVM22462, complete sequence",234,94725,1,234,54780,55481,234,3,98.718,100.0,100.0,plus,8.38e-157,473,mate-pair-formation
NC_023290_00086|MPF_I,"CP009566.1 Salmonella enterica subsp. enterica serovar Newport str. CVM 22462 plasmid pCVM22462, complete sequence",175,94725,1,175,55484,56008,175,1,99.429,100.0,100.0,plus,4.42e-105,322,mate-pair-formation
NC_019111_00038|MPF_I,"CP009566.1 Salmonella enterica subsp. enterica serovar Newport str. CVM 22462 plasmid pCVM22462, complete sequence",134,94725,1,134,56062,56463,134,3,97.761,100.0,100.0,plus,1.53e-56,181,mate-pair-formation
